順位	登録番号	馬名	性別	厩舎	指名者数
156	2024106944	メモリアデルレ	牡	吉岡辰弥	10
157	2024106303	ダノングローバル	牡	大竹正博	10
158	2024106180	ダノンキューブ	牝	橋口慎介	10
159	2024106508	アトミックリーチ	牡	宮田敬介	10
160	2024105811	カリーナミアの2024	牡	-	10
161	2024103197	エピソードゼロ	牡	-	10
162	2024105811	カリーナミアの2024	牡	-	10
163	2024106125	クレイヴィング	牡	斉藤崇史	10
164	2024105853	ルパドゥクール	牝	上村洋行	9
165	2024106555	ピュティアス	牡	池添学	9
166	2024106410	ホウオウシュウ	牡	田中博康	9
167	2024106886	リアライズアビオン	牡	手塚貴久	9
168	2024106663	スターリーフライト	牝	安田翔伍	9
169	2024106106	ウィンターブリーズ	牡	田中博康	9
170	2024105890	アヴィアトーレ	牡	田島俊明	9
171	2024106649	ドラゴンバルド	牡	-	9
172	2024106602	レッドタイラント	牡	友道康夫	9
173	2024100255	アルテクィーン	牝	杉山晴紀	9
174	2024106226	ハートノート	牝	-	9
175	2024106448	インテルラゴス	牝	-	9
176	2024106063	ヒシレガシー	牡	杉山晴紀	9
177	2024105962	フロムザブルー	牡	-	9
178	2024106535	ムービー	牝	中内田充	9
179	2024106178	アインザッツ	牡	宮田敬介	9
180	2024107148	アルデオリエンス	牝	藤岡健一	9
181	2024106555	ピュティアス	牡	池添学	9
182	2024106410	ホウオウシュウ	牡	田中博康	9
183	2024106231	オーソロンビック	牡	斎藤誠	8
184	2024107063	ルースソラール	牡	吉岡辰弥	8
185	2024106976	ヴィヴェローネ	牝	高野友和	8
186	2024106928	アーケントレイル	牡	矢作芳人	8
187	2024106395	エルヴァーレ	牡	友道康夫	8
188	2024106528	ランパディアス	牡	黒岩陽一	8
189	2024108267	Mangoustineの2024	牡	-	8
190	2024106267	ネオカロン	牝	高野友和	8
191	2024101426	シエロブリジャンテ	牝	宮田敬介	8
192	2024106692	アドマイヤリッスン	牡	-	8
193	2024106327	サトノアミュレット	牝	-	8
194	2024105934	フォルトゥナロッサ	牝	武幸四郎	8
195	2024106053	ミクニエクリプス	牡	-	8
196	2024105812	クレアティオ	牝	矢作芳人	8
197	2024105980	ノーブルグランツ	牡	久保田貴	8
198	2024104698	オンユアマークス	牡	松永幹夫	8
199	2024110010	フライトコール	牡	矢作芳人	8
200	2024106661	ガリアルダ	牝	上村洋行	8
201	2024107058	デュアルサイン	牡	武幸四郎	7
202	2024106048	レッドマスキュラー	牡	黒岩陽一	7
203	2024106722	アイデア	牡	中内田充	7
204	2024106308	フェニックスロール	牡	木村哲也	7
205	2024106282	インカルナータ	牡	西園翔太	7
206	2024105923	アクロスザタイム	牝	杉山晴紀	7
207	2024100636	クシュラモクリ	牡	-	7
208	2024106201	ゼヴィウス	牡	-	7
209	2024106430	グラシアレスインク	牡	安田翔伍	7
210	2024106274	ギルデッドグロス	牡	黒岩陽一	7
211	2024106428	ビスタセレナータ	牝	清水久詞	7
212	2024105846	レヴェレーター	牡	高野友和	7
213	2024106723	コルベータ	牡	松下武士	7
214	2024103634	マイネルアリスタ	牡	手塚貴久	7
215	2024106283	スイートリディア	牝	高橋亮	7
216	2024106584	フェスタベラ	牝	木村哲也	7
217	2024101707	エリカサントロペ	牝	友道康夫	7
218	2024106910	ディヴィニダッド	牡	辻野泰之	7
219	2024106413	トップレイアー	牡	大久保龍	7
220	2024106383	インディジャズ	牝	高野友和	7
221	2024106430	グラシアレスインク	牡	安田翔伍	7
222	2024106428	ビスタセレナータ	牝	清水久詞	7
223	2024103912	サトノアニマ	牡	-	6
224	2024106711	アルコデラルーナ	牝	矢嶋大樹	6
225	2024105963	ダノンチャンピオン	牡	安田翔伍	6
226	2024106116	プランプリップ	牝	-	6
227	2024106380	アトランタ	牡	高柳大輔	6
228	2024100427	マテンロウヒルズ	牡	-	6
229	2024106638	エトワールビズー	牝	高野友和	6
230	2024108240	スターフラッシュ	牡	木村哲也	6
231	2024106246	オーロトラジェの2024	牡	-	6
232	2024106482	アンムート	牝	奥村豊	6
233	2024106375	シーズアウルフ	牝	栗田徹	6
234	2024105317	ヴィルマリー	牝	上村洋行	6
235	2024104321	ダノンカンタービレ	牡	-	6
236	2024105282	キャンディリヒト	牝	安田翔伍	6
237	2024106392	スイープラディウス	牡	萩原清	6
238	2024106605	オプティミスタ	牝	手塚貴久	6
239	2024106333	ガヤーズアモーレ	牝	-	6
240	2024104576	タイセイソアリング	牡	-	6
241	2024105381	リフレイムの2024	牝	-	6
242	2024106603	シスキンブルーム	牝	斉藤崇史	6
243	2024103198	シルクドマルス	牝	松尾卓哉	6
244	2024103469	レインインザスカイ	牝	田中克典	6
245	2024106702	リリサイドの2024	牡	-	6
246	2024106721	クラルテロワ	牡	松永幹夫	6
247	2024108192	アークシーベル	牡	蛯名正義	6
248	2024106426	コールセレスト	牝	武井亮	6
249	2024106198	シグロデオロ	牡	平田修	6
250	2024106711	アルコデラルーナ	牝	矢嶋大樹	6
251	2024103912	サトノアニマ	牡	-	6
252	2024106116	プランプリップ	牝	-	6
253	2024105963	ダノンチャンピオン	牡	安田翔伍	6
254	2024106380	アトランタ	牡	高柳大輔	6
255	2024106638	エトワールビズー	牝	高野友和	6
256	2024108240	スターフラッシュ	牡	木村哲也	6
257	2024106246	オーロトラジェの2024	牡	-	6
258	2024100427	マテンロウヒルズ	牡	-	6
259	2024103455	ポルトブルー	牡	浜田多実	5
260	2024106377	シーアンドパールズ	牝	田中博康	5
261	2024106681	リアライズシンシア	牝	須貝尚介	5
262	2024104670	オリーブティアラの2024	牝	-	5
263	2024101893	アヴァロン	牡	清水久詞	5
264	2024103834	ゼンノレガリア	牡	-	5
265	2024101891	モズデキマリ	牡	矢作芳人	5
266	2024106628	インティサール	牝	杉山佳明	5
267	2024107314	クルミネイトの2024	牝	-	5
268	2024106743	エクラドリオン	牡	中舘英二	5
269	2024106523	カントアンジェリコ	牝	宮田敬介	5
270	2024107160	ショウナンラプソ	牡	-	5
271	2024106581	ユメノカケラ	牡	上原佑紀	5
272	2024106203	タイセイ	牡	友道康夫	5
273	2024103438	アントレピード	牡	池江泰寿	5
274	2024106604	ボーヴァン	牡	田村康仁	5
275	2024106697	ファーストアライヴ	牡	-	5
276	2024106160	ヴァストマーレ	牡	木村哲也	5
277	2024106138	ストラテジスト	牡	斉藤崇史	5
278	2024106066	ホワイトフレアー	牡	黒岩陽一	5
279	2024100521	トップチェッカー	牡	武英智	5
280	2024104874	デイジーバローズ	牝	友道康夫	5
281	2024106581	ユメノカケラ	牡	上原佑紀	5
282	2024106203	タイセイ	牡	友道康夫	5
283	2024106138	ストラテジスト	牡	斉藤崇史	5
284	2024106066	ホワイトフレアー	牡	黒岩陽一	5
285	2024106697	ファーストアライヴ	牡	-	5
286	2024106160	ヴァストマーレ	牡	木村哲也	5
287	2024104874	デイジーバローズ	牝	友道康夫	5
288	2024100521	トップチェッカー	牡	武英智	5
289	2024106148	アーキミロナリア	牝	杉山佳明	5
290	2024106489	ドリームローパーの2024	牡	-	5
291	2024105755	リアライズセレスト	牡	武幸四郎	5
292	2024107038	パルクデラモールの2024	牡	-	5
293	2024107165	ジーティーマイカ	牝	前川恭子	5
294	2024106179	インピードの2024	牡	-	5
295	2024101772	アイアムスグレモノ	牡	-	5
296	2024105925	ソウルスターリングの2024	牝	蛯名正義	5
297	2024106256	ケアホルム	牡	斎藤誠	5
298	2024106615	ソルフィーナ	牝	上原佑紀	5
299	2024105973	ノルトハウゼン	牡	菊沢隆徳	4
300	2024106358	フロントページ	牡	-	4
301	2024106394	スカイズザリミット	牝	木村哲也	4
302	2024105935	バルディリオ	牡	杉山晴紀	4
303	2024106460	ティグリディア	牝	池添学	4
304	2024104720	ホエールキャプチャの2024	牡	-	4
305	2024103488	アフェクト	牡	上原佑紀	4
306	2024101975	ソアリングドリーム	牝	中内田充	4
307	2024100467	エンジョイ	牝	上村洋行	4
308	2024100134	ルクスマグナ	牡	高柳瑞樹	4
309	2024106473	レッドシーカー	牡	池江泰寿	4
310	2024106752	サンティエリュール	牝	松永幹夫	4
311	2024100120	ステラトップガン	牡	高柳大輔	4
312	2024104337	エリカプロヴァンス	牝	杉山晴紀	4
313	2024104578	オールベット	牡	上村洋行	4
314	2024103714	アークレオン	牡	高柳大輔	4
315	2024106358	フロントページ	牡	-	4
316	2024106551	テリオスブギ	牝	田島俊明	4
317	2024105973	ノルトハウゼン	牡	菊沢隆徳	4
318	2024106190	ジーティーマカロン	牝	-	4
319	2024106350	ディーヴァレギオン	牡	斎藤誠	4
320	2024106369	シーウィルレインの2024	牡	-	4
321	2024108209	ドラヴァッシュ	牡	-	4
322	2024106170	ヒシホライゾン	牡	堀宣行	4
323	2024106173	ルミナレーヌ	牝	昆貢	4
324	2024107018	ゴルトクリーガー	牡	西園翔太	4
325	2024100720	アールラプチャーの2024	牝	-	4
326	2024103885	マテンロウバモス	牡	昆貢	4
327	2024106585	ホウオウビリーヴ	牡	木村哲也	4
328	2024106262	ビスケットサンド	牝	佐藤悠太	4
329	2024100702	アトゥア	牝	-	4
330	2024106597	ホウオウプレマ	牝	大竹正博	4
331	2024108188	オーレヴィア	牡	矢作芳人	4
332	2024105695	アークブレイブ	牡	-	4
333	2024106135	セレニティマリン	牡	-	4
